idbel_white,fullname_white,belrating_white,result,idbel_black,fullname_black,belrating_black
19650,"Guilfanov, Raphaël",1694,½-½,24793,"Lecoq, Colin",1820
24699,"Evers, Shaman",1754,1-0,60389,"Alessi, David",1829
83178,"Da Ces, Philippe",1940,½-½,79278,"Crahay, Stephane",1897
63339,"Waxweiler, Laurent",1700,0-1,20312,"Docquier, Orville",1754
11210,"Bex, Lennert",2002,1-0,26756,"Karanda, Konstantin",2141
91430,"Rahier, André",1856,½-½,95168,"Verbeek, Geert",1797
40525,"Indemans, Rudi",1789,½-½,91448,"Herzet, Serge",1733
15718,"Dechevres, Nicolas",1294,1-0,18261,"Picard, Hervé",1642
92967,"Pilawski, Stephane",1887,1-0,17684,"Sazonov, Fedor",1874
4537,"Zenuni, Safet",1763,0-1,37401,"Vandecan, Michel",1801
56278,"Tutenel, Erik",1730,½-½,11982,"Van Beylen, Koen",1700
20095,"Jansen, Luc",1591,1-0,60241,"Charles, Freddy",1696
97849,"Kulla, Werner",1961,1-0,99341,"Godesar, Ralph",1909
95010,"Franken, Jean-Claude",1783,½-½,47422,"Zilles, Paul",1705
13024,"Thomas, Walter",1647,½-½,99724,"Nyssen, Christoph",1703
20931,"Delhaes, Guenter",1530,0-1,27242,"Selyshchev, Artem",1384
97136,"Thirion, Marcel",2059,1-0,13276,"Saparbiev, Djambulat",1813
99376,"Havenith, Jean",1715,½-½,91201,"Manne, Jean-Luc",1762
12595,"Cristino, Gregory",1759,1-0,13406,"Abubakirov, Khumid",1465
23771,"Gupta, Akul",1354,0-1,15780,"Cypers, Alexandre",1756
95450,"Rosskamp, Bob",1849,½-½,60397,"Visse, Bernard",1676
85863,"Doubnov, Ilucha",1570,0-1,99945,"Fryns, Patrick",1731
27091,"Hepting, Frank",1635,1-0,23398,"Plunus, Nicolas",1467
23717,"Dumont, Ronan",1310,0-1,27122,"Rosenberg, Thomas",1330
23259,"Agnello, Vasco",1657,1-0,25630,"Rol Cortijo, Pablo",1409
24246,"Sputael, Ludwig",1394,½-½,26092,"Bebronne, Romain",0
97157,"Orban, Didier",1593,½-½,19606,"Dumoulin, Patrick",1346
23114,"Collet, Florian",1317,0-1,27064,"Morvrange, Camille",1487
11510,"Demarré, Jan",1773,½-½,50393,"Dugailliez, Guy",1970
41050,"Bogaerts, Marc",1880,1-0,56294,"Adams, Gert",1799
17825,"Verlinden, Willem",1660,0-1,40363,"Engelaer, Maurice",1868
19849,"Socaciu, Gheorghe",1840,1-0,5525,"Tegenbosch, Dirk",1634
80608,"Aerts, Eric",1940,1-0,15928,"Manueke, Hervano",1348
19230,"Maes, Lander",1421,½-½,25755,"Peleman, Tony",1915
4693,"Mollekens, Roeland",1913,1-0,18979,"De Groof, Mathijs",1232
24462,"Oris, Fenna",0,0-1,884,"Provinciael, Ernest",1902
49387,"Fierens, Steve",2036,0-1 FF,21415,"Nuyens, John",1951
14980,"Hoskens, Fred",1720,½-½,37125,"De Gent, Tom",1789
15431,"Van Der Kelen, Thomas",1708,½-½,10416,"Van de Sande, Jorn",1610
16158,"Roymans, Liese",1476,1-0,21679,"Van Linden, Tony",1693
8974,"Van Wiele, Kurt",1841,½-½,45420,"Vande Velde, Erik",1881
28754,"Van Goethem, Jozef",1819,½-½,19757,"Noens, Yoran",1282
12928,"Boudry, Rik",1472,½-½,33413,"Baelen, Kristof",1786
4626,"De Hert, Robert",1675,0-1,14071,"Laureys, Jo",1347
55964,"Nijssen, Peter",1970,0-1,14567,"Descamps, Stijn",1882
9504,"Lemmens, Philip",1928,1-0,95184,"Gijbels, Rudi",1838
16601,"Huysmans, Quinten",1796,½-½,32344,"Moens, Patrick",1826
